,_Route_ID                 --Route Name,_#Trips,EXISTING_Miles,_Hours,_#Trips,NO-BUILD_Miles,_Hours,_#Trips,BUILD_Miles,_Hours
95,41-362&L                 --41-Crosstown: Westwood - Oak,0,0.00,0.00,22,459.51,28.65,0,0.00,0.00
96,41-367&L                 --41-Crosstown: Westwood - Oak,0,0.00,0.00,0,0.00,0.00,22,459.51,28.65
97,412&T                    --Newport HS #2 AM-Newport HS,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
98,42X&T                    --42X-Florence Hub/Industrial,10,162.89,7.33,10,162.89,7.33,10,162.89,7.33
99,42X-350&C                --42X-West Chester Express,7,146.07,4.72,0,0.00,0.00,0,0.00,0.00
100,43-348&L                 --43-Reading Road,39,563.03,38.48,0,0.00,0.00,0,0.00,0.00
101,43-362&L                 --43-Reading - Paddock - Wayne,0,0.00,0.00,22,338.20,27.87,0,0.00,0.00
102,43-367&L                 --43-Reading - Paddock - Wayne,0,0.00,0.00,0,0.00,0.00,22,338.20,27.87
103,44-362&L                 --44-Upper Reading Road,0,0.00,0.00,20,225.58,15.00,0,0.00,0.00
104,44-367&L                 --44-Upper Reading Road,0,0.00,0.00,0,0.00,0.00,20,225.57,15.00
105,450&T                    --Holmes HS #2 PM-Holmes HS #2,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
106,451&T                    --Holmes HS #2 AM-Holmes HS #2,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
107,46-348&L                 --46-Avondale - Winton Hills,18,231.78,18.43,0,0.00,0.00,0,0.00,0.00
108,46-362&L                 --46-Uptown - Winton Terrace,0,0.00,0.00,17,197.75,17.57,0,0.00,0.00
109,46-367&L                 --46-Uptown - Winton Terrace,0,0.00,0.00,0,0.00,0.00,17,197.75,17.57
110,47-362&L                 --47-Mitchell Avenue,0,0.00,0.00,17,160.35,11.90,0,0.00,0.00
111,47-367&L                 --47-Mitchell Avenue,0,0.00,0.00,0,0.00,0.00,17,160.35,11.90
112,485&T                    --Holmes HS #5 PM-Holmes HS #5,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
113,49-348&L                 --49-Fairmount - English Woods,16,97.57,8.18,0,0.00,0.00,0,0.00,0.00
114,49-362&L                 --49-Fairmount - English Woods,0,0.00,0.00,16,98.59,8.18,0,0.00,0.00
115,49-367&L                 --49-Fairmount - English Woods,0,0.00,0.00,0,0.00,0.00,16,98.59,8.18
116,5&T                      --5-Holman Ave/Fort Wright,9,85.59,7.50,9,85.59,7.50,9,85.59,7.50
117,5-348&L                  --5-Crosstown: Oakley - Sharon,16,220.09,14.52,0,0.00,0.00,0,0.00,0.00
118,5-362&L                  --5-Crosstown: Oakley - Sharon,0,0.00,0.00,15,195.43,13.90,0,0.00,0.00
119,5-367&L                  --5-Crosstown: Oakley - Sharon,0,0.00,0.00,0,0.00,0.00,15,195.43,13.90
120,50-348&L                 --50-River Road - Sayler Park,6,84.74,3.77,0,0.00,0.00,0,0.00,0.00
121,50-362&L                 --50-River Road - Sayler Park,0,0.00,0.00,6,84.74,3.77,0,0.00,0.00
