"Route ID","Route Name","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"Table    10.04",,,,,,,,,,
"***** OFF-PEAK TRIPS, MILES AND HOURS BY ROUTE ********",,"***",,,,,,,,
"Comparison of Weekday Operating Statistics by Scenario",,,,,,,,,,
"OFF-PEAK=any trip serving one or more stops between 10:",,"0 am a","d 2:15 pm",,,,,,,
,,"Y2023","XISTING",,"Y2023","O-BUILD",,"Y2023","UILD",
,,"======","============","============","======","============","============","======","============","============"
"Route_ID","Route Name","#Trips","Miles","Hours","#Trips","Miles","Hours","#Trips","Miles","Hours"
"511&T","Newport HS #1 PM-Newport HS","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"512&T","Newport HS #2 PM-Newport HS","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"52X-349&E","52X-Harrison Express","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"52X-363&E","52X-Harrison Express","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"552&T","Holmes HS #1 AM-Holmes HS #1","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"553&T","Holmes HS #6 PM-Holmes HS #6","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"554&T","Holmes HS #5 AM-Holmes HS #5","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"6-348&L","6-Queen City - Westwood","27","215.61","16.30","0","0.00","0.00","0","0.00","0.00"
"6-362&L","6-Queen City - Westwood","0","0.00","0.00","27","215.61","16.30","0","0.00","0.00"
"6-367&L","6-Queen City - Westwood","0","0.00","0.00","0","0.00","0.00","27","215.61","16.30"
"61&T","61-Covington Health Connecti","16","26.37","2.67","16","26.37","2.67","16","26.37","2.67"
"61-362&L","61-Galbraith Road","0","0.00","0.00","22","355.98","24.60","0","0.00","0.00"
"61-367&L","61-Galbraith Road","0","0.00","0.00","0","0.00","0.00","22","355.98","24.60"
"64-348&L","64-Glenway Crossing - Westwo","19","226.05","19.10","0","0.00","0.00","0","0.00","0.00"
"64-362&L","64-Glenway Crossing - Westwo","0","0.00","0.00","19","226.05","19.10","0","0.00","0.00"
"64-367&L","64-Glenway Crossing - Westwo","0","0.00","0.00","0","0.00","0.00","19","226.05","19.10"
"65-348&L","65-Crosstown: Western Hills-","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"65-362&L","65-Crosstown: Western Hills-","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"65-367&L","65-Crosstown: Western Hills-","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"652&T","Holmes HS #8 AM-Holmes HS #8","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"67-348&L","67-Crosstown: Forest Park -","20","340.57","19.00","0","0.00","0.00","0","0.00","0.00"
"67-362&L","67-Crosstown: Forest Park -","0","0.00","0.00","20","337.28","19.00","0","0.00","0.00"
"67-367&L","67-Crosstown: Forest Park -","0","0.00","0.00","0","0.00","0.00","20","337.28","19.00"
"7&T","7-Madison Ave/Latonia","9","55.00","5.55","9","55.00","5.55","9","55.00","5.55"
"71X-350&C","71X-Kings Island Express","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"71X-364&C","71X-Kings Island Express","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"72-349&E","72-Kings Island Direct","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"74X-349&E","74X-Colerain Express","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"74X-363&E","74X-Colerain Express","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"751&T","Holmes HS #7 PM-Holmes HS #7","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"752&T","Holmes HS #9 PM-Holmes HS #9","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"75X-349&E","75X-Anderson Express","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"75X-363&E","75X-Anderson Express","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"77-348&L","77-Delhi - Commuter","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"77-362&L","77-Delhi - Sayler Park","0","0.00","0.00","20","284.35","12.50","0","0.00","0.00"
"77-367&L","77-Delhi - Sayler Park","0","0.00","0.00","0","0.00","0.00","20","284.35","12.50"
"78-348&L","78-Springdale Vine - Lincoln","33","555.42","41.72","0","0.00","0.00","0","0.00","0.00"
"78-362&L","78-Vine Street","0","0.00","0.00","23","362.89","27.45","0","0.00","0.00"
"78-367&L","78-Vine Street","0","0.00","0.00","0","0.00","0.00","23","362.89","27.45"
"8&T","8-Eastern Ave/Crestview Hill","10","126.62","10.83","10","126.62","10.83","10","126.62","10.83"
"81-348&L","81-Mt. Washington - Commuter","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"81-362&L","81-Mt. Washington - Commuter","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"81-367&L","81-Mt. Washington - Commuter","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"82X-350&C","82X-Eastgate Express","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"82X-364&C","82X-Eastgate Express","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"851&T","Holmes HS #4 PM-Holmes HS #4","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"888&T","KCJ-Kenton County Jail","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"BRTH-367&L","BRTH-Hamilton Avenue BRT","0","0.00","0.00","0","0.00","0.00","63","766.22","55.95"
"BRTR-362&L","BRTR-Reading Road BRT","0","0.00","0.00","58","488.07","31.90","0","0.00","0.00"
"BRTR-367&L","BRTR-Reading Road BRT","0","0.00","0.00","0","0.00","0.00","58","488.07","31.90"
"M+-348&L","M+-MetroPlus","21","266.75","23.08","0","0.00","0.00","0","0.00","0.00"
"Total",,"812","9227.49","701.56","951","10728.14","794.71","1036","11019.62","807.91"
